"Date","Price","Open","High","Low","Change %"
"03/25/2022","61.02","64.04","64.04","61.02","-3.17%"
"03/24/2022","63.02","62.04","63.02","62.04","2.44%"
"03/23/2022","61.52","59.54","61.52","59.54","2.07%"
"03/22/2022","60.27","63.54","63.54","60.27","-3.98%"
"03/21/2022","62.77","60.31","62.77","60.31","12.57%"
"03/18/2022","55.76","54.53","55.76","54.53","4.69%"
"03/17/2022","53.26","54.53","54.53","53.26","-4.48%"
"03/16/2022","55.76","61.02","61.02","55.76","-6.30%"
"03/15/2022","59.51","60.02","60.02","59.51","1.71%"
"03/14/2022","58.51","52.04","58.51","52.04","7.32%"
"03/11/2022","54.52","49.04","54.52","49.04","2.83%"
"03/10/2022","53.02","42.06","53.02","42.06","12.76%"
"03/09/2022","47.02","54.04","54.04","47.02","-21.00%"
"03/08/2022","59.52","60.03","60.03","59.52","-13.12%"
"03/07/2022","68.51","55.13","68.51","55.13","16.99%"
"03/04/2022","58.56","50.92","58.56","50.92","12.70%"
"03/03/2022","51.96","49.93","51.96","49.93","4.00%"
"03/02/2022","49.96","48.96","49.96","48.96","0.97%"
"03/01/2022","49.48","48.04","49.48","48.04","0.94%"
"02/28/2022","49.02","44.12","49.02","44.12","7.59%"
"02/25/2022","45.56","47.10","47.10","45.56","-7.12%"
"02/24/2022","49.05","44.38","49.05","44.38","1.78%"
"02/23/2022","48.19","43.92","48.19","43.92","2.62%"
"02/22/2022","46.96","45.29","46.96","45.29","-0.38%"
"02/21/2022","47.14","40.31","47.14","40.31","15.97%"
"02/18/2022","40.65","37.36","40.65","37.36","9.33%"
"02/17/2022","37.18","37.37","37.37","37.18","1.36%"
"02/16/2022","36.68","37.14","37.14","36.68","-6.12%"
"02/15/2022","39.07","38.04","39.07","38.04","-1.14%"
"02/14/2022","39.52","36.39","39.52","36.39","7.71%"
"02/11/2022","36.69","35.32","36.69","35.32","2.89%"
"02/10/2022","35.66","33.52","35.66","33.52","5.63%"
"02/09/2022","33.76","34.88","34.88","33.76","-3.38%"
"02/08/2022","34.94","36.24","36.24","34.94","-3.24%"
